model,ds_ns,speed_kmh,period_slots,omega_per_frame,horizon,pred_nmse_db,zoh_nmse_db,filt_nmse_db
cdl_e,2064.0,30,40,12.225762628051477,32,2.901126801595431,2.8605762991402344,-18.23033686198427
cdl_e,2064.0,30,80,24.451525256102954,1,1.164202707476726,2.9808781768637314,-18.29079754441086
cdl_e,2064.0,30,80,24.451525256102954,2,2.026275806756119,3.45805566057329,-18.29079754441086
cdl_e,2064.0,30,80,24.451525256102954,4,2.601743713714658,3.4276556492803207,-18.29079754441086
cdl_e,2064.0,30,80,24.451525256102954,8,2.59496753361646,1.9685059267438514,-18.29079754441086
cdl_e,2064.0,30,80,24.451525256102954,16,2.8301221909582046,2.6668597182957576,-18.29079754441086
cdl_e,2064.0,30,80,24.451525256102954,32,3.1073878643806205,3.6395302814496713,-18.29079754441086
cdl_e,2064.0,60,10,6.1128813140257385,1,-2.8862980483346306,0.8489815259740354,-19.278898957799036
cdl_e,2064.0,60,10,6.1128813140257385,2,1.3090503586490825,2.783567447008399,-19.278898957799036
cdl_e,2064.0,60,10,6.1128813140257385,4,2.894102352282702,2.6603122774837877,-19.278898957799036
cdl_e,2064.0,60,10,6.1128813140257385,8,3.0242599554248883,3.2027995917836227,-19.278898957799036
cdl_e,2064.0,60,10,6.1128813140257385,16,3.038876545337491,3.7196734160262492,-19.278898957799036
cdl_e,2064.0,60,10,6.1128813140257385,32,3.176561126908653,2.534771457955474,-19.278898957799036
cdl_e,2064.0,60,40,24.451525256102954,1,0.5485014249544141,2.5497216290342246,-18.50512220529945
cdl_e,2064.0,60,40,24.451525256102954,2,1.6797283881354141,3.4667604646994867,-18.50512220529945
cdl_e,2064.0,60,40,24.451525256102954,4,2.823659627349788,2.9325635328865647,-18.50512220529945
cdl_e,2064.0,60,40,24.451525256102954,8,2.858031305447472,2.5331500982421478,-18.50512220529945
cdl_e,2064.0,60,40,24.451525256102954,16,2.5475420195464826,3.048043686163591,-18.50512220529945
cdl_e,2064.0,60,40,24.451525256102954,32,2.9051349296112745,2.7828936846127235,-18.50512220529945
cdl_e,2064.0,60,80,48.90305051220591,1,1.0129410500826734,3.48451419001242,-18.349584549564405
cdl_e,2064.0,60,80,48.90305051220591,2,1.9392641712685863,3.9415924592934704,-18.349584549564405
cdl_e,2064.0,60,80,48.90305051220591,4,2.7676374398090617,2.3182213827651905,-18.349584549564405
cdl_e,2064.0,60,80,48.90305051220591,8,2.7100328794358797,2.4258099467345877,-18.349584549564405
cdl_e,2064.0,60,80,48.90305051220591,16,3.1984509485208923,2.988834716284765,-18.349584549564405
cdl_e,2064.0,60,80,48.90305051220591,32,3.017107761076603,2.494509727948368,-18.349584549564405
cdl_e,2064.0,120,10,12.225762628051477,1,0.9007525829496654,1.9670103337616673,-18.482584825124494
cdl_e,2064.0,120,10,12.225762628051477,2,1.9888939069776783,2.839952288842054,-18.482584825124494
cdl_e,2064.0,120,10,12.225762628051477,4,2.5273619017629745,3.5355971234167276,-18.482584825124494
cdl_e,2064.0,120,10,12.225762628051477,8,2.9079641392027664,3.6109395601459493,-18.482584825124494
cdl_e,2064.0,120,10,12.225762628051477,16,2.9636097268737727,2.6989718270697316,-18.482584825124494
cdl_e,2064.0,120,10,12.225762628051477,32,2.891525386514155,2.6012343346272413,-18.482584825124494
cdl_e,2064.0,120,40,48.90305051220591,1,1.8485452563591172,3.472730780676792,-18.03320325134478
cdl_e,2064.0,120,40,48.90305051220591,2,2.5340617100069625,2.5942128604497174,-18.03320325134478
cdl_e,2064.0,120,40,48.90305051220591,4,2.9758768328182486,2.4098720212455653,-18.03320325134478
cdl_e,2064.0,120,40,48.90305051220591,8,3.0668155506655244,2.893182452200254,-18.03320325134478
cdl_e,2064.0,120,40,48.90305051220591,16,2.71201351644208,3.4165667852387944,-18.03320325134478
cdl_e,2064.0,120,40,48.90305051220591,32,2.737660338709219,2.5207050183078024,-18.03320325134478
